game_id,a_total_minutes,b_total_minutes,first_half_dur,second_half_dur,total_timeout_duration,total_gametime_excl_breaks,total_gametime
01,50.92166666666665,35.447216666666684,36.67278333333333,57.8139,4.981683333333327,94.40365527777777,99.83611666666665
02,50.96110000000002,21.353349999999978,32.61445,52.43333333333333,9.304433333333327,84.89270944444444,89.83
03,41.156100000000016,45.059466666666644,40.298883333333336,50.607216666666666,3.92498333333333,90.84068361111112,93.62721666666667
04,42.01666666666665,37.284450000000014,47.86888333333333,37.80389999999999,5.390549999999992,85.58294083333331,89.12445
05,35.175566666666676,51.82165,39.573883333333335,58.5561,5.442216666666657,98.03927972222223,100.1861
06,51.082200000000014,38.44114999999998,56.2,39.531116666666655,5.331100000000007,95.64226499999998,100.24
07,40.33719999999996,25.47890000000001,40.38055,37.92999999999999,10.847233333333353,78.12976277777777,83.13776666666666
08,51.33500000000004,45.54331666666663,67.66943333333333,40.992766666666675,10.447233333333331,108.48807944444445,112.93776666666668
09,44.668883333333284,36.549466666666696,80.00833333333334,33.767783333333334,30.232216666666666,113.27224638888889,117.73611666666666
10,31.50996666666666,34.71058333333334,40.16221666666667,32.35666666666666,4.051666666666665,72.45135555555555,75.86276666666666
11,42.221116666666646,46.225550000000005,57.82223333333334,41.97333333333333,9.963900000000004,99.62950166666667,104.20445
12,52.54113333333331,35.36775000000001,58.81778333333333,38.613899999999994,7.856666666666683,97.30073888888889,101.03944999999999
